Country,Code,PI,HFI,GPI,M,GBD,HDI,ES,GI,PI Raw,HFI Raw,GPI Raw,M Raw,GBD Raw,HDI Raw,ES Raw,GI Raw,Total
Poland,POL,-1,2,2,6,0,1,3,1,-1,-1,1.657,-1,23039.7,0.88,60.9,0.115,2.142857143
Portugal,PRT,-1,1,0,7,0,1,2,0,-1,-1,1.247,-1,18936.26,0.864,67,0.075,1.571428571
Puerto Rico,PRI,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,24144.23,-1,-1,-1,1
Qatar,QAT,-1,5,2,-1,0,1,7,2,-1,-1,1.616,-1,21363.24,0.848,37.1,0.185,2.833333333
Romania,ROU,-1,1,1,7,1,2,2,3,-1,-1,1.541,-1,26808.12,0.828,64.7,0.276,2.428571429
Russia,RUS,-1,5,7,9,2,2,5,2,-1,-1,3.049,-1,32178.74,0.824,50.5,0.225,4.571428571
Rwanda,RWA,4,3,3,5,3,7,8,4,0.25867766,0.25867766,2.049,-1,40388.02,0.543,33.8,0.402,4.625
Saint Kitts and Nevis,KNA,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,0.779,-1,-1,3
Saint Lucia,LCA,0,-1,-1,-1,1,3,6,4,0.00720186,0.00720186,-1,-1,26558.26,0.759,43.1,0.401,2.8
Saint Vincent and the Grenadines,VCT,-1,-1,-1,-1,1,3,5,-1,-1,-1,-1,-1,31003.71,0.738,48.4,-1,3
Samoa,WSM,-1,-1,-1,-1,1,4,7,4,-1,-1,-1,-1,30099.64,0.715,37.3,0.36,4
Sao Tome and Principe,STP,1,-1,-1,-1,2,5,7,6,0.09196488,0.09196488,-1,-1,36754.62,0.625,37.6,0.537,4.2
Saudi Arabia,SAU,-1,7,5,8,1,1,6,2,-1,-1,2.443,-1,24935.86,0.854,44,0.252,4.285714286
Senegal,SEN,4,4,2,5,3,7,8,6,0.2879805,0.2879805,1.824,-1,41359.13,0.512,30.7,0.533,4.875
Serbia,SRB,0,3,2,7,1,2,4,1,0.00143994,0.00143994,1.846,-1,25468.38,0.806,55.2,0.132,2.5
Seychelles,SYC,-1,3,-1,4,1,2,4,-1,-1,-1,-1,-1,28043.58,0.796,58.2,-1,2.8
Sierra Leone,SLE,5,5,2,3,5,8,9,8,0.29669848,0.29669848,1.82,-1,62171.28,0.452,25.7,0.644,5.625
Singapore,SGP,-1,1,0,9,0,0,4,0,-1,-1,1.321,-1,14901.23,0.938,58.1,0.065,2
Slovakia,SVK,-1,1,1,5,1,1,2,2,-1,-1,1.568,-1,23466.23,0.86,68.3,0.191,1.857142857
Slovenia,SVN,-1,1,1,6,0,0,1,0,-1,-1,1.369,-1,19703.36,0.917,72,0.063,1.285714286
Solomon Islands,SLB,-1,-1,-1,-1,3,6,9,-1,-1,-1,-1,-1,44967.81,0.567,26.7,-1,6
Somalia,SOM,-1,-1,8,-1,5,-1,-1,-1,-1,-1,3.302,-1,62153.35,-1,-1,-1,6.5
South Africa,ZAF,0,3,4,5,3,4,6,4,0.02489064,0.02489064,2.317,-1,45453.02,0.709,43.1,0.406,3.625
South Sudan,SSD,9,-1,9,6,6,9,-1,-1,0.58015746,0.58015746,3.447,-1,67989.9,0.433,-1,-1,7.8
Spain,ESP,-1,1,2,5,0,0,1,0,-1,-1,1.712,-1,17002.97,0.904,74.3,0.07,1.285714286
Sri Lanka,LKA,-1,4,3,6,0,3,7,4,-1,-1,2.003,-1,22689.15,0.782,39,0.401,3.857142857
Sudan,SDN,4,9,7,-1,3,7,7,6,0.2794396,0.2794396,3.043,-1,39487.4,0.51,34.8,0.545,6.142857143
Suriname,SUR,0,3,-1,-1,2,3,6,5,0.04071888,0.04071888,-1,-1,32970.38,0.738,45.2,0.436,3.166666667
Sweden,SWE,-1,0,1,5,0,0,0,0,-1,-1,1.479,-1,18002.26,0.945,78.7,0.039,0.857142857
Switzerland,CHE,-1,0,1,6,0,0,0,0,-1,-1,1.366,-1,17047.95,0.955,81.5,0.025,1
Syrian Arab Republic,SYR,0,10,9,-1,3,6,-1,5,0.02877433,0.02877433,3.539,-1,40283.18,0.567,-1,0.482,5.5
"Taiwan, Province of China",TWN,-1,0,2,-1,0,-1,4,-1,-1,-1,1.707,-1,19591.13,-1,57.2,-1,1.5
Tajikistan,TJK,0,6,4,5,2,5,7,3,0.02900592,0.02900592,2.188,-1,35255.32,0.668,38.2,0.314,4
Tanzania (United Republic of),TZA,4,5,3,5,3,7,8,6,0.2734315,0.2734315,1.85,-1,44298.82,0.529,31.1,0.556,5.125
Thailand,THA,0,5,4,7,1,3,6,4,0.00307104,0.00307104,2.245,-1,23662.25,0.777,45.4,0.359,3.75
Timor-Leste,TLS,3,4,3,3,2,6,7,-1,0.20961754,0.20961754,1.863,-1,34909.62,0.606,35.3,-1,4
Togo,TGO,4,5,4,5,4,7,8,7,0.24868223,0.24868223,2.201,-1,49336.86,0.515,29.5,0.573,5.5
Tonga,TON,-1,-1,-1,-1,2,4,6,4,-1,-1,-1,-1,32538.75,0.725,45.1,0.354,4
Trinidad and Tobago,TTO,0,3,3,3,1,2,5,3,0.00241792,0.00241792,2.078,-1,28909.56,0.796,47.5,0.323,2.5
Tunisia,TUN,0,5,3,6,1,3,5,3,0.00525341,0.00525341,2.09,-1,23405.92,0.74,46.7,0.296,3.25
Turkey,TUR,-1,5,7,7,0,2,6,3,-1,-1,2.959,-1,23005.72,0.82,42.6,0.306,4.285714286
Turkmenistan,TKM,0,-1,4,-1,2,4,6,-1,0.00145477,0.00145477,2.276,-1,34468.07,0.715,43.9,-1,3.2
Uganda,UGA,4,4,4,4,3,7,7,6,0.26884636,0.26884636,2.202,-1,46651.42,0.544,35.6,0.535,4.875
Ukraine,UKR,0,4,7,7,2,3,5,2,0.00082672,0.00082672,2.927,-1,34975.04,0.779,49.5,0.234,3.75
United Arab Emirates,ARE,-1,5,2,7,1,1,4,0,-1,-1,1.752,-1,30806.92,0.89,55.6,0.079,2.857142857
United Kingdom,GBR,-1,0,2,6,0,0,0,1,-1,-1,1.77,-1,20120.9,0.932,81.3,0.118,1.285714286
United States,USA,-1,0,4,7,1,0,2,2,-1,-1,2.307,-1,24305.79,0.926,69.3,0.204,2.285714286
Uruguay,URY,-1,1,2,6,1,2,5,3,-1,-1,1.704,-1,23941.71,0.817,49.1,0.288,2.857142857
Uzbekistan,UZB,-1,-1,4,-1,2,4,6,3,-1,-1,2.158,-1,35452.49,0.72,44.3,0.288,3.8
Vanuatu,VUT,2,-1,-1,-1,4,6,8,-1,0.1738829,0.1738829,-1,-1,47730.23,0.609,28.9,-1,5
Venezuela (Bolivarian Republic of),VEN,-1,9,7,6,1,4,5,5,-1,-1,2.936,-1,27375.6,0.711,50.3,0.479,5.285714286
Vietnam,VNM,0,5,3,7,1,4,8,3,0.01933417,0.01933417,1.92,-1,26376.66,0.704,33.4,0.296,3.875
Virgin Islands (U.S.),VIR,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,27290.59,-1,-1,-1,1
Western Sahara,ESH,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,53836.04,-1,-1,-1,4
"Yemen, Rep.",YEM,4,9,9,7,3,8,-1,10,0.24073455,0.24073455,3.411,-1,44559.64,0.47,-1,0.795,7.142857143
Zambia,ZMB,4,4,2,5,4,6,7,6,0.26134053,0.26134053,1.794,-1,51675.32,0.584,34.7,0.539,4.75
Zimbabwe,ZWE,2,6,5,4,5,6,7,6,0.13651253,0.13651253,2.485,-1,56253.68,0.571,37,0.527,5.125
,,222,557,568,869,350,694,999,388,,,,,,,,,
